127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001169
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002027
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002275
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000898
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.001636
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001619
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002277
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000603
127.0.0.1, 2018-04-10 15:46:51, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000876
127.0.0.1, 2018-04-10 15:46:52, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.014112
127.0.0.1, 2018-04-10 15:46:52, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.000491
127.0.0.1, 2018-04-10 15:46:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.044124
127.0.0.1, 2018-04-10 15:46:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.097296
127.0.0.1, 2018-04-10 15:46:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.550535
127.0.0.1, 2018-04-10 15:46:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.710840
127.0.0.1, 2018-04-10 15:46:55, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.016145
127.0.0.1, 2018-04-10 15:47:09, GET, /admin/default/edit/start/views/layout.html, HTTP/1.1, 200, 0.018603
127.0.0.1, 2018-04-10 15:47:09, GET, /admin/default/edit/start/views/layout.html, HTTP/1.1, 200, 0.009076
